SrcBytes,SIntPktMax,Proto_arp,Proto_icmp,Proto_ipv6-icmp,Proto_tcp,Proto_udp,State_CLO,State_CON,State_ECO,State_FIN,State_INT,State_NRS,State_REQ,State_RST,State_TST,State_URH,State_URHPRO
1.3490964,-0.66015685,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.65352196,-0.66574144,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
-0.6029598,0.95938975,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.65352196,-0.6659254,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
-0.5912707,0.16238761,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
-0.7457144,-0.71227115,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
-0.74571615,4.7328105,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0.65352196,-0.65998256,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
-0.7098478,2.3461285,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1.0279729,-0.7009181,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
-0.19206472,0.5898058,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
-0.63908315,-0.089413166,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
-0.45960444,-0.6998718,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
-0.61103237,0.16175224,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.65352196,-0.6662842,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
-0.72672963,2.1403198,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
-0.5901685,0.8737168,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
-0.5723353,-0.7058191,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
-0.73762786,-0.71207434,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
-0.45615077,-0.6525111,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.65352196,-0.6605934,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.493308,-0.5411865,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
-0.09300548,-0.55053324,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0.65352196,-0.66458046,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
3.5607915,-0.6676167,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1.5471033,0.27505723,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0.9709358,0.7898106,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
-0.61723495,-0.13282382,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
-0.5080874,0.06844448,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.056293726,0.5404721,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
-0.09655672,-0.579318,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
-0.6361412,2.8154771,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
-0.20249833,0.58287084,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
-0.5850513,-0.71180564,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
-0.093833804,-0.56468344,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2.0465257,-0.6509553,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
